admin1_pcode,admin3_pcode,state,township,total_pop,idps,pop_minus_idps,food_secure,marginally_food_secure,moderately_food_insecure,severely_food_insecure,food_insecure_moderately_severely,moderate_food_insecure_number,severely_food_insecure_number,moderately_severely,pin_2022,total_pin2,target_2022,pc_vul,pin_2021,target_2021,hrp_target_idps_2021,hrp_target_returnees_2021,hrp_target_stateless_rakhine_2021,hrp_target_other_vulnerable_2021,hrp_target_total,hrp_version,pin_new,target_new
MMR013,MMR013040,Yangon,Hlaing,186556.8721678007,0,186556.8721678007,0.151,0.624,0.216,0.008,0.224,40296.28438824495,1492.4549773424055,41788.73936558736,41789,52235.9242069842,52236,0.22400000000000003,0,0,0,0,0,0,0,NA,52236,41789
MMR013,MMR013008,Yangon,Hlaingtharya,800503.5088140167,0,800503.5088140167,0.151,0.624,0.216,0.008,0.224,172908.75790382762,6404.028070512134,179312.78597433976,179313,227976,227976,0.224,204542.42424242425,204542.42424242425,0,0,0,0,0,ierp,227976,179313
MMR013,MMR013004,Yangon,Hlegu,315074.1647437887,0,315074.1647437887,0.151,0.624,0.216,0.008,0.224,68056.01958465837,2520.59331795031,70576.61290260867,70577,88220.76612826085,88221,0.224,0,0,0,0,0,0,0,NA,88221,70577
MMR013,MMR013003,Yangon,Hmawbi,284660.787304043,0,284660.787304043,0.151,0.624,0.216,0.008,0.224,61486.73005767329,2277.286298432344,63764.01635610563,63764,79705.02044513205,79705,0.224,0,0,0,0,0,0,0,NA,79705,63764
MMR013,MMR013006,Yangon,Htantabin,169665.07705270514,0,169665.07705270514,0.151,0.624,0.216,0.008,0.224,36647.65664338431,1357.320616421641,38004.97725980595,38005,27945.22684474341,2795,0.224,0,0,0,0,0,0,0,NA,2795,38005
MMR013,MMR013001,Yangon,Insein,355272.33125192724,0,355272.33125192724,0.151,0.624,0.216,0.008,0.224,76738.82355041629,2842.178650015418,79581.0022004317,79581,99476.25275053963,99476,0.224,190909.0909090909,190909.0909090909,0,0,0,0,0,ierp,99476,79581
MMR013,MMR013041,Yangon,Kamaryut,98416.9632165703,0,98416.9632165703,0.151,0.624,0.216,0.008,0.224,21258.064054779185,787.3357057325624,22045.399760511747,22045,27556.749700639684,27557,0.224,0,0,0,0,0,0,0,NA,27557,22045
MMR013,MMR013028,Yangon,Kawhmu,138544.1411265676,0,138544.1411265676,0.151,0.624,0.216,0.008,0.224,29925.534483338604,1108.3531290125409,31033.887612351144,31034,38792.35951543893,38792,0.22399999999999998,0,0,0,0,0,0,0,NA,38792,31034
MMR013,MMR013026,Yangon,Kayan,183894.21786374706,0,183894.21786374706,0.151,0.624,0.216,0.008,0.224,39721.15105856937,1471.1537429099765,41192.304801479346,41192,51490.38100184918,51490,0.224,0,0,0,0,0,0,0,NA,51490,41192
MMR013,MMR013029,Yangon,Kungyangon,129911.46209358246,0,129911.46209358246,0.151,0.624,0.216,0.008,0.224,28060.875812213813,1039.2916967486597,29100.167508962473,29100,36375.20938620309,36375,0.224,0,0,0,0,0,0,0,NA,36375,29100
MMR013,MMR013033,Yangon,Kyauktada,34741.35443134332,0,34741.35443134332,0.151,0.624,0.216,0.008,0.224,7504.132557170157,277.9308354507466,7782.063392620904,7782,9727.57924077613,9728,0.22399999999999998,0,0,0,0,0,0,0,NA,9728,7782
MMR013,MMR013024,Yangon,Kyauktan,194867.1931403737,0,194867.1931403737,0.151,0.624,0.216,0.008,0.224,42091.31371832072,1558.9375451229898,43650.251263443715,43650,54562.81407930465,54563,0.22400000000000003,0,0,0,0,0,0,0,NA,54563,43650
MMR013,MMR013038,Yangon,Kyeemyindaing,129774.13988734195,0,129774.13988734195,0.151,0.624,0.216,0.008,0.224,28031.214215665863,1038.1931190987357,29069.407334764597,29069,36336.75916845575,36337,0.224,0,0,0,0,0,0,0,NA,36337,29069
MMR013,MMR013035,Yangon,Lanmadaw,54882.332595791086,0,54882.332595791086,0.151,0.624,0.216,0.008,0.224,11854.583840690875,439.05866076632867,12293.642501457203,12294,15367.053126821504,15367,0.224,0,0,0,0,0,0,0,NA,15367,12294
MMR013,MMR013036,Yangon,Latha,29160.02137092318,0,29160.02137092318,0.151,0.624,0.216,0.008,0.224,6298.564616119406,233.28017096738543,6531.844787086792,6532,8164.80598385849,8165,0.224,0,0,0,0,0,0,0,NA,8165,6532
MMR013,MMR013042,Yangon,Mayangone,230553.5105502536,0,230553.5105502536,0.151,0.624,0.216,0.008,0.224,49799.558278854776,1844.4280844020288,51643.98636325681,51644,64554.98295407101,64555,0.22400000000000003,0,0,0,0,0,0,0,NA,64555,51644
MMR013,MMR013002,Yangon,Mingaladon,385882.3820209496,0,385882.3820209496,0.151,0.624,0.216,0.008,0.224,83350.59451652512,3087.059056167597,86437.65357269271,86438,108047.06696586589,108047,0.22399999999999998,0,0,0,0,0,0,0,NA,108047,86438
